region,category,parameter,mode,powertrain,year,unit,value
India,Historical,EV sales,Cars,BEV,2010,Vehicles,450
India,Historical,EV stock,Cars,BEV,2010,Vehicles,880
India,Historical,EV sales share,Cars,EV,2010,percent,0.020999999716878
India,Historical,EV stock share,Cars,EV,2010,percent,0.004999999888241
India,Historical,Oil displacement Mbd,Cars,EV,2010,Milion barrels per day,2.2000000171829E-05
India,Historical,"Oil displacement, million lge",Cars,EV,2010,"Oil displacement, million lge",1.29999995231628
India,Historical,Oil displacement Mbd,Cars,EV,2011,Milion barrels per day,4.50000006821938E-05
India,Historical,"Oil displacement, million lge",Cars,EV,2011,"Oil displacement, million lge",2.59999990463257
India,Historical,EV stock share,Cars,EV,2011,percent,0.006699999794364
India,Historical,EV sales share,Cars,EV,2011,percent,0.056000001728535
India,Historical,EV stock,Cars,BEV,2011,Vehicles,1300
India,Historical,EV sales,Cars,BEV,2011,Vehicles,1400
India,Historical,EV sales,Cars,BEV,2012,Vehicles,190
India,Historical,EV stock,Cars,BEV,2012,Vehicles,2800
India,Historical,EV sales share,Cars,EV,2012,percent,0.00719999987632
India,Historical,EV stock share,Cars,EV,2012,percent,0.012000000104308
India,Historical,Oil displacement Mbd,Cars,EV,2012,Milion barrels per day,4.50000006821938E-05
India,Historical,"Oil displacement, million lge",Cars,EV,2012,"Oil displacement, million lge",2.59999990463257
India,Historical,Oil displacement Mbd,Cars,EV,2013,Milion barrels per day,4.99999987368938E-05
India,Historical,"Oil displacement, million lge",Cars,EV,2013,"Oil displacement, million lge",2.90000009536743
India,Historical,EV stock share,Cars,EV,2013,percent,0.012000000104308
India,Historical,EV sales share,Cars,EV,2013,percent,0.016000000759959
India,Historical,EV stock,Cars,BEV,2013,Vehicles,2900
India,Historical,EV sales,Cars,BEV,2013,Vehicles,410
India,Historical,EV sales,Cars,BEV,2014,Vehicles,1000
India,Historical,EV stock,Cars,BEV,2014,Vehicles,3400
